id,scam_type,message,description,language,target_info_requested,medium
7726,Friend in Distress Scam,"Hey, it's Mohanlal. I'm stuck in Suryapet and need ₹87253 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7727,Fake E-commerce Scam,Get Laptop for just ₹98089. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7728,Fake Charity/Donation Scam,We're raising funds for flood victims in Meghalaya. Please donate what you can to UPI ID: samarthjha@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7729,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://baral-apte.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7730,Fake Job Offer Scam,"Hi, this is Neysa from HR at Tiwari Inc. You've been shortlisted for a remote role. Pay ₹763 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7731,Fake Loan Approval Scam,You are pre-approved for a ₹68505 loan. Pay ₹729 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7732,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7733,Fake E-commerce Scam,Get Laptop for just ₹96102. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7734,Fake E-commerce Scam,Get Laptop for just ₹33582. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7735,Fake E-commerce Scam,Get AirPods Pro for just ₹87215. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7736,Fake Charity/Donation Scam,We're raising funds for flood victims in Meghalaya. Please donate what you can to UPI ID: yrajagopal@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7737,Tax Refund Scam,Your tax refund of ₹62813 is ready. Click here to verify your info: http://mammen.org,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
7738,Fake Charity/Donation Scam,We're raising funds for flood victims in Andhra Pradesh. Please donate what you can to UPI ID: nayantaradalia@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7739,WhatsApp Account Hacking Scam,"Hey, this is Inaaya . I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7740,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7741,Fake Technical Support Scam,This is Jhanvi from Thakkar-Garg Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7742,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7743,Fake Job Offer Scam,"Hi, this is Ela from HR at Doshi, Swamy and Buch. You've been shortlisted for a remote role. Pay ₹971 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7744,Fake Discount/Refund Scam,You are eligible for a ₹7639 refund from Dhingra-Mani. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7745,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://karnik.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7746,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://mahal.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7747,Fake Technical Support Scam,"This is Madhup from Shan, Kara and Upadhyay Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7748,Fake Technical Support Scam,This is Indrans from Samra-Balasubramanian Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7749,Fake E-commerce Scam,Get AirPods Pro for just ₹79506. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7750,Fake Job Offer Scam,"Hi, this is Arnav from HR at Rama PLC. You've been shortlisted for a remote role. Pay ₹998 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7751,Fake E-commerce Scam,Get Smartwatch for just ₹21614. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7752,Fake Technical Support Scam,This is Sumer from Gaba-Shah Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7753,WhatsApp Account Hacking Scam,"Hey, this is Mehul. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7754,Friend in Distress Scam,"Hey, it's Darshit. I'm stuck in Dewas and need ₹99634 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7755,Friend in Distress Scam,"Hey, it's Myra. I'm stuck in Jhansi and need ₹19801 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7756,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹69374 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 05964539776.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7757,Fake Discount/Refund Scam,You are eligible for a ₹81197 refund from Rao Group. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7758,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹18972 to UPI ID: parisahni@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7759,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7760,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹35842 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +918771052062.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7761,Fake Technical Support Scam,This is Divij from Walla Inc Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7762,Cryptocurrency Investment Scam,Invest ₹69758 in our crypto plan and get ₹75531 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7763,Fake Loan Approval Scam,You are pre-approved for a ₹40630 loan. Pay ₹321 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7764,Cryptocurrency Investment Scam,Invest ₹16536 in our crypto plan and get ₹47085 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7765,Fake Technical Support Scam,This is Khushi from Goyal and Sons Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7766,Fake E-commerce Scam,Get AirPods Pro for just ₹5847. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7767,Fake Loan Approval Scam,You are pre-approved for a ₹58449 loan. Pay ₹878 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7768,Friend in Distress Scam,"Hey, it's Hrishita. I'm stuck in Kolhapur and need ₹67829 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7769,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://toor.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7770,Friend in Distress Scam,"Hey, it's Ojas. I'm stuck in Warangal and need ₹87719 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7771,Fake E-commerce Scam,Get Smartwatch for just ₹96730. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7772,Fake E-commerce Scam,Get iPhone 13 for just ₹81356. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7773,Tax Refund Scam,Your tax refund of ₹87376 is ready. Click here to verify your info: http://chakrabarti.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
7774,Fake Discount/Refund Scam,You are eligible for a ₹63141 refund from Agate and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7775,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://kurian.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7776,Fake Charity/Donation Scam,We're raising funds for flood victims in Assam. Please donate what you can to UPI ID: hkunda@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7777,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7778,Cryptocurrency Investment Scam,Invest ₹95692 in our crypto plan and get ₹80750 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7779,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://edwin.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7780,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7781,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹22162 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +911061848404.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7782,Fake Loan Approval Scam,You are pre-approved for a ₹6271 loan. Pay ₹661 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7783,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹16913 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 00237537525.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7784,WhatsApp Account Hacking Scam,"Hey, this is Rasha. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7785,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹70100 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 5444282583.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7786,Fake E-commerce Scam,Get Laptop for just ₹16221. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7787,Fake E-commerce Scam,Get Smartwatch for just ₹25899. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7788,Fake Job Offer Scam,"Hi, this is Advik from HR at Saha Group. You've been shortlisted for a remote role. Pay ₹579 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7789,Fake E-commerce Scam,Get AirPods Pro for just ₹51966. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7790,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹27558 to UPI ID: kgupta@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7791,Fake Job Offer Scam,"Hi, this is Priyansh from HR at Dayal Inc. You've been shortlisted for a remote role. Pay ₹980 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7792,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://kalita-varghese.org,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7793,Fake E-commerce Scam,Get Laptop for just ₹84897. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7794,Fake Discount/Refund Scam,You are eligible for a ₹7592 refund from Chawla and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7795,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7796,Fake E-commerce Scam,Get AirPods Pro for just ₹5489. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7797,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹23900 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 7719341336.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7798,Fake E-commerce Scam,Get AirPods Pro for just ₹78394. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7799,Fake Charity/Donation Scam,We're raising funds for flood victims in Telangana. Please donate what you can to UPI ID: xdas@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7800,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹58917 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 2349677108.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7801,Fake Charity/Donation Scam,We're raising funds for flood victims in Tamil Nadu. Please donate what you can to UPI ID: obhasin@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7802,WhatsApp Account Hacking Scam,"Hey, this is Indranil. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7803,WhatsApp Account Hacking Scam,"Hey, this is Prisha. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7804,Fake E-commerce Scam,Get Laptop for just ₹97098. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7805,Fake Discount/Refund Scam,You are eligible for a ₹19400 refund from Contractor PLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7806,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://gade.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7807,Tax Refund Scam,Your tax refund of ₹96563 is ready. Click here to verify your info: http://kaur.org,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
7808,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹64783 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +919268135630.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7809,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹87274 to UPI ID: dharyashvi@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7810,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7811,Fake Charity/Donation Scam,We're raising funds for flood victims in Punjab. Please donate what you can to UPI ID: sbose@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7812,Fake E-commerce Scam,Get Laptop for just ₹13632. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7813,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttar Pradesh. Please donate what you can to UPI ID: shereyuvraj@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7814,WhatsApp Account Hacking Scam,"Hey, this is Mamooty. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7815,Fake Technical Support Scam,This is Stuvan from Ramesh LLC Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7816,Fake Job Offer Scam,"Hi, this is Vardaniya from HR at Bala-Konda. You've been shortlisted for a remote role. Pay ₹655 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7817,WhatsApp Account Hacking Scam,"Hey, this is Kabir. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7818,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹27191 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06191044296.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7819,Fake Discount/Refund Scam,You are eligible for a ₹4418 refund from Bhatia and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7820,Fake Technical Support Scam,This is Dhanush from Buch and Sons Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
7821,WhatsApp Account Hacking Scam,"Hey, this is Anya. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7822,Fake Job Offer Scam,"Hi, this is Jhanvi from HR at Seth PLC. You've been shortlisted for a remote role. Pay ₹890 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7823,Fake Discount/Refund Scam,You are eligible for a ₹17369 refund from Chand and Sons. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7824,Fake Job Offer Scam,"Hi, this is Kaira from HR at Comar, Bir and Kunda. You've been shortlisted for a remote role. Pay ₹974 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
7825,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7826,Cryptocurrency Investment Scam,Invest ₹56550 in our crypto plan and get ₹20397 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7827,Fake Charity/Donation Scam,We're raising funds for flood victims in Jharkhand. Please donate what you can to UPI ID: aarnabedi@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7828,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7829,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://vora.info,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7830,Fake Charity/Donation Scam,We're raising funds for flood victims in Rajasthan. Please donate what you can to UPI ID: irabadami@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7831,Cryptocurrency Investment Scam,Invest ₹28087 in our crypto plan and get ₹22210 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7832,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹79334 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +915961970822.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
7833,WhatsApp Account Hacking Scam,"Hey, this is Shalv. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7834,Fake Charity/Donation Scam,We're raising funds for flood victims in Meghalaya. Please donate what you can to UPI ID: kiaramahal@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
7835,Fake Loan Approval Scam,You are pre-approved for a ₹78510 loan. Pay ₹951 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7836,Fake Loan Approval Scam,You are pre-approved for a ₹40441 loan. Pay ₹586 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7837,Fake E-commerce Scam,Get iPhone 13 for just ₹78804. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7838,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://balasubramanian-swamy.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7839,Fake Loan Approval Scam,You are pre-approved for a ₹4478 loan. Pay ₹391 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7840,WhatsApp Account Hacking Scam,"Hey, this is Anvi. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7841,WhatsApp Account Hacking Scam,"Hey, this is Navya. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7842,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹95425 to UPI ID: sana19@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7843,WhatsApp Account Hacking Scam,"Hey, this is Anika. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
7844,Cryptocurrency Investment Scam,Invest ₹91852 in our crypto plan and get ₹66937 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7845,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
7846,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://kannan-shenoy.biz,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
7847,Friend in Distress Scam,"Hey, it's Diya. I'm stuck in Bikaner and need ₹57550 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
7848,Fake Loan Approval Scam,You are pre-approved for a ₹34770 loan. Pay ₹800 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
7849,Cryptocurrency Investment Scam,Invest ₹83374 in our crypto plan and get ₹72443 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7850,Fake Discount/Refund Scam,You are eligible for a ₹31358 refund from Gade-Kara. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
7851,Cryptocurrency Investment Scam,Invest ₹77354 in our crypto plan and get ₹41521 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
7852,Fake E-commerce Scam,Get iPhone 13 for just ₹97369. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
7853,Tax Refund Scam,Your tax refund of ₹49607 is ready. Click here to verify your info: http://kant-karan.org,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
7854,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹46576 to UPI ID: purabmallick@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
7855,WhatsApp Account Hacking Scam,"Hey, this is Elakshi. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
